[2018-09-09 00:12:38.231] Starting up round ID 2217.
[2018-09-09 00:12:38.231] -------------------------
[2018-09-09 01:02:12.945] ATTACK: BuckyBoy/(Beau Richards) has slipped on the [floor] (Starboard Primary Hallway (158, 129, 2))
[2018-09-09 01:02:14.747] ATTACK: swindel/(Tul-Ullis) has shaked BuckyBoy/(Beau Richards) (NEWHP: 100)  (Starboard Primary Hallway (159, 128, 2))
[2018-09-09 01:02:32.946] ATTACK: ChippedIce/(Reed Whiteman) has fired at BuckyBoy/(Beau Richards) with [electrode] from Starboard Primary Hallway (NEWHP: 100)  (Starboard Primary Hallway (159, 130, 2))
[2018-09-09 01:02:36.508] ATTACK: ChippedIce/(Reed Whiteman) has fired at [floor] with [electrode] from Starboard Primary Hallway (Starboard Primary Hallway (159, 130, 2))
[2018-09-09 01:02:39.666] ATTACK: ChippedIce/(Reed Whiteman) has fired at [floor] with [electrode] from Starboard Primary Hallway (Starboard Primary Hallway (159, 130, 2))
[2018-09-09 01:02:39.851] ATTACK: ChippedIce/(Reed Whiteman) has shot BuckyBoy/(Beau Richards) with [electrode] (NEWHP: 100)  (Starboard Primary Hallway (159, 130, 2))
[2018-09-09 01:02:43.502] ATTACK: Luka Noktorios/(Moth Salts) has climbed onto [table] (Medbay Treatment Center (134, 110, 2))
[2018-09-09 01:02:43.634] ATTACK: ChippedIce/(Reed Whiteman) has grabbed BuckyBoy/(Beau Richards) passive grab (NEWHP: 100)  (Starboard Primary Hallway (161, 128, 2))
[2018-09-09 01:02:46.550] ATTACK: ChippedIce/(Reed Whiteman) has handcuffed BuckyBoy/(Beau Richards) (NEWHP: 100)  (Starboard Primary Hallway (161, 128, 2))
[2018-09-09 01:02:50.849] ATTACK: swindel/(Tul-Ullis) has slipped on the [floor] (Starboard Primary Hallway (135, 128, 2))
[2018-09-09 01:02:52.765] ATTACK: Luka Noktorios/(Moth Salts) has attacked [window] with [circular saw] (Medbay Treatment Center (134, 110, 2))
[2018-09-09 01:02:53.577] ATTACK: Luka Noktorios/(Moth Salts) has attacked [window] with [circular saw] (Medbay Treatment Center (134, 110, 2))
[2018-09-09 01:02:54.388] ATTACK: Luka Noktorios/(Moth Salts) has attacked [window] with [circular saw] (Medbay Treatment Center (134, 110, 2))
[2018-09-09 01:02:55.225] ATTACK: Luka Noktorios/(Moth Salts) has attacked [window] with [circular saw] (Medbay Treatment Center (134, 110, 2))
[2018-09-09 01:02:56.007] ATTACK: Luka Noktorios/(Moth Salts) has attacked [grille] with [circular saw] (Medbay Treatment Center (134, 110, 2))
[2018-09-09 01:02:56.818] ATTACK: Luka Noktorios/(Moth Salts) has attacked [grille] with [circular saw] (Medbay Treatment Center (134, 110, 2))
[2018-09-09 01:02:57.743] ATTACK: Luka Noktorios/(Moth Salts) has attacked [grille] with [circular saw] (Medbay Treatment Center (134, 110, 2))
[2018-09-09 01:02:58.580] ATTACK: Luka Noktorios/(Moth Salts) has attacked [grille] with [circular saw] (Medbay Treatment Center (134, 110, 2))
[2018-09-09 01:03:02.143] ATTACK: ChippedIce/(Reed Whiteman) has stripped the science radio headset off BuckyBoy/(Beau Richards) (NEWHP: 100)  (Dormitories (123, 156, 2))
[2018-09-09 01:03:14.675] ATTACK: Luka Noktorios/(Moth Salts) has slipped on the [floor] (Starboard Primary Hallway (135, 128, 2))
