[2018-08-22 17:51:41.595] Starting up round ID 2043.
[2018-08-22 17:51:41.595] -------------------------
[2018-08-22 18:18:50.151] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade (CLOSED)] with [wrench] (Port Quarter Maintenance (79, 99, 2))
[2018-08-22 18:18:51.113] ATTACK: AstronautCat/(Delia Eld) has attacked [wooden barricade (CLOSED)] with [wrench] (Port Quarter Maintenance (79, 99, 2))
[2018-08-22 18:20:28.141] ATTACK: Smarrazzo/(Simon Fenix) has grabbed *no key*/(Default AI Shell 743) passive grab (NEWHP: 100)  (Robotics Lab (172, 122, 2))
[2018-08-22 18:21:47.266] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Distant vision.</span> (Central Primary Hallway (128, 120, 2))
[2018-08-22 18:21:53.716] ATTACK: ChippedIce/(Hana Robusto) <span class='danger'>cast the spell Distant vision.</span> (Starboard Primary Hallway (132, 128, 2))
[2018-08-22 18:22:10.750] ATTACK: ChippedIce/(Hana Robusto) has climbed onto [reinforced table] (Kitchen (150, 132, 2))
[2018-08-22 18:22:24.850] ATTACK: ChippedIce/(Hana Robusto) has climbed onto [reinforced table] (Kitchen (149, 132, 2))
[2018-08-22 18:22:41.650] ATTACK: AstronautCat/(Delia Eld) has climbed onto [reinforced table] (Bar (142, 135, 2))
[2018-08-22 18:23:09.450] ATTACK: AstronautCat/(Delia Eld) has climbed onto [reinforced table] (Bar (142, 137, 2))
[2018-08-22 18:24:10.683] ATTACK: ChippedIce/(Hana Robusto) has thrown the paper- contract for knowledge (Research Division (180, 124, 2))
[2018-08-22 18:24:41.265] ATTACK: ChippedIce/(Hana Robusto) has flashed(targeted) Shamzie/(Lukash Russianman) with [flash] (NEWHP: 100)  (Toxins Mixing Lab (190, 103, 2))
[2018-08-22 18:24:43.082] ATTACK: ChippedIce/(Hana Robusto) has grabbed Shamzie/(Lukash Russianman) passive grab (NEWHP: 100)  (Toxins Mixing Lab (190, 103, 2))
[2018-08-22 18:24:45.146] ATTACK: ChippedIce/(Hana Robusto) has handcuffed Shamzie/(Lukash Russianman) (NEWHP: 100)  (Toxins Mixing Lab (190, 103, 2))
[2018-08-22 18:24:45.749] ATTACK: Shamzie/(Lukash Russianman) <span class='danger'>cast the spell Hellfire.</span> (Toxins Mixing Lab (191, 102, 2))
[2018-08-22 18:24:45.750] ATTACK: Shamzie/(Lukash Russianman) has fired at ChippedIce/(Hana Robusto) with [infernal fireball] from Toxins Mixing Lab (NEWHP: 100)  (Toxins Mixing Lab (191, 102, 2))
[2018-08-22 18:24:45.753] ATTACK: Shamzie/(Lukash Russianman) has shot ChippedIce/(Hana Robusto) with [infernal fireball] (NEWHP: 90)  (Toxins Mixing Lab (191, 102, 2))
[2018-08-22 18:25:11.858] ATTACK: ChippedIce/(Hana Robusto) has stripped the science backpack off Shamzie/(Lukash Russianman) (NEWHP: 34)  (Research Division (175, 115, 2))
[2018-08-22 18:25:12.556] ATTACK: ChippedIce/(Hana Robusto) has stripped the top-hat off Shamzie/(Lukash Russianman) (NEWHP: 34)  (Research Division (175, 115, 2))
