[2018-08-26 05:56:41.911] Starting up round ID 2084.
[2018-08-26 05:56:41.911] -------------------------
[2018-08-26 06:13:47.152] ATTACK: BRhunter45/(Adolph Mills) has attacked [Captain's Desk Door] with [fire axe (Wielded)] (Captain's Office (123, 124, 2))
[2018-08-26 06:13:48.094] ATTACK: BRhunter45/(Adolph Mills) has attacked [Captain's Desk Door] with [fire axe (Wielded)] (Captain's Office (123, 124, 2))
[2018-08-26 06:13:49.022] ATTACK: BRhunter45/(Adolph Mills) has attacked [Captain's Desk Door] with [fire axe (Wielded)] (Captain's Office (123, 124, 2))
[2018-08-26 06:13:49.906] ATTACK: BRhunter45/(Adolph Mills) has attacked [Captain's Desk Door] with [fire axe (Wielded)] (Captain's Office (123, 124, 2))
[2018-08-26 06:13:50.731] ATTACK: BRhunter45/(Adolph Mills) has attacked [Captain's Desk Door] with [fire axe (Wielded)] (Captain's Office (123, 124, 2))
[2018-08-26 06:13:57.008] ATTACK: BRhunter45/(Adolph Mills) has attacked BRhunter45/(Adolph Mills) with fire axe[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 55.5)  (Starboard Primary Hallway (154, 128, 2))
[2018-08-26 06:13:57.969] ATTACK: BRhunter45/(Adolph Mills) has attacked BRhunter45/(Adolph Mills) with fire axe[DC] (INTENT: HARM) (DAMTYPE: BRUTE) (NEWHP: 70)  (Starboard Primary Hallway (158, 128, 2))
[2018-08-26 06:16:10.353] ATTACK: BRhunter45/(Adolph Mills) has thrown the fire axe (Starboard Primary Hallway (151, 128, 2))
[2018-08-26 06:16:56.865] ATTACK: BRhunter45/(Adolph Mills) has thrown the large beaker (Medbay Central (138, 122, 2))
[2018-08-26 06:17:12.489] ATTACK: BRhunter45/(Adolph Mills) has thrown the left arm (Starboard Primary Hallway (153, 130, 2))
[2018-08-26 06:17:19.019] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
[2018-08-26 06:17:19.926] ATTACK: BRhunter45/(Adolph Mills) has attacked [window] with [fire axe] (Medbay Treatment Center (134, 112, 2))
